pregunta;respuesta1;respuesta2;respuesta3;respuesta4
Selecciona el orden correcto de los niveles de organización;célula -> tejido -> órgano -> sistema;célula -> tejido -> órgano -> organismo;célula -> órgano  -> tejido  -> sistema;célula -> órgano  -> tejido  -> organismo
Las moléculas orgánicas están formadas por...;cadenas C-C;agua y sales minerales;proteínas;átomos de C
La unidad básica de la vida es...;la célula;el tejido;la biolomolécula;el organismo
Los biolementos primarios son...;C, H, O, N, P y S;C, H, O, N, P y Ca;C, H, O, N, P y Fe;C, H, O, N y P
¿Cuál de las siguientes biomoléculas **no** es orgánica?;sales minerales;ácidos nucleicos;glúcidos;proteínas
El material genético de la célula se encuentra en...;el núcleo;la mitocondria;el lisosoma;el aparato de Golgi
El orgánulo celular que produce energía es...;la mitocondria;el núcleo;el lisosoma;el aparato de Golgi
El orgánulo celular que realiza la digestión celular es...;el lisosoma;la mitocondria;el núcleo;el aparato de Golgi
Entre las características del tejido epitelial destaca...;hay poca o nula irrigación sanguínea;están muy irrigados;sus células tienen un gran tamaño;el tejido epitelial no tiene características propias
Los epitelios pueden ser...;de revestimiento y glandulares;de revestimiento y estratificados;monocapa y glandulares;estratificados y pluricapa
¿En qué moleculas se encuentran los genes?;en los cromosomas;en el núcleo;en la célula;en las mitocondrias
¿Cuál de los siguientes tejidos conectivos **no** es especializado?;conjuntivo;adiposo;sanguíneo;cartilaginoso.
La capacidad contráctil de las fibras musculares dependen de unas proteínas que se encuentran en...;el citoesqueleto;la membrana plasmática;el núcleo;la mitocondria
De acuerdo con la teoría endosimbiótica, ¿qué orgánulo celular eucariota proviene de una bacteria?;la mitocondria;el aparato de Golgi;el lisosoma;el núcleo
Un fragmento de DNA con la información necesaria para sintetizar una proteína se denomina...;gen;cromosoma;cromatina;ácido nucleico
Las células especializadas en la conducción eléctrica son...;las neuronas;los osteocitos;los astrocitos;los adipocitos
¿Qué función desarrolla la matriz extracelular?;todas son correctas;rellenar espacios entre células;regenerar la células;eliminar las sustancias de desecho
Los dos tipos básicos de células que forman el sistema nerviosos son;las neuronas y la glía;neuronas y astrocitos;neuronas y linfocitos;neuronas y eritrocitos
¿Qué porcentaje de nuestra información genética es común a todas las personas?;99,9%;99%;99,5%;99,99%
Aproximádamente, ¿qué porcentaje del cuerpo humano es agua?;60% en varones y 50-55% en mujeres;60% en mujeres y 50-55% en varones;60% en ambos sexos;50-55% en ambos sexo
